age,account,if_marital,if_default,if_housing,if_loan,if_active_selling,duration,label,occupation_cleaner,occupation_management,occupation_own-business,occupation_production,occupation_retired,occupation_services,occupation_student,occupation_technician,occupation_unemployed,education_primary,education_secondary,education_unknown
44,488,yes,no,no,yes,no,292,0,no,yes,no,no,no,no,no,no,no,no,yes,no
38,70,no,no,no,no,no,164,1,yes,no,no,no,no,no,no,no,no,no,yes,no
43,254,yes,no,yes,yes,no,104,0,no,yes,no,no,no,no,no,no,no,no,no,no
62,0,no,no,no,no,no,227,1,no,no,no,no,yes,no,no,no,no,no,no,no
45,237,no,no,yes,no,yes,110,0,no,no,no,no,no,no,no,yes,no,yes,no,no
58,771,yes,no,no,no,no,126,0,no,yes,no,no,no,no,no,no,no,no,yes,no
46,942,yes,no,no,no,no,240,0,no,no,no,yes,no,no,no,no,no,no,yes,no
32,5,no,no,yes,yes,yes,134,0,no,no,no,yes,no,no,no,no,no,no,yes,no
62,3738,yes,no,no,no,no,151,0,no,no,no,no,yes,no,no,no,no,yes,no,no
39,168,yes,no,no,no,yes,96,0,no,no,no,no,no,no,no,no,no,no,yes,no
28,131,yes,no,yes,no,no,147,0,no,no,no,yes,no,no,no,no,no,no,yes,no
29,97,yes,no,yes,no,no,431,0,no,no,no,yes,no,no,no,no,no,yes,no,no
44,13054,yes,no,yes,no,no,23,0,no,yes,no,no,no,no,no,no,no,no,yes,no
38,530,yes,no,yes,no,no,59,0,no,no,no,yes,no,no,no,no,no,no,yes,no
55,5804,yes,no,no,no,no,56,0,no,yes,no,no,no,no,no,no,no,no,no,no
30,5956,yes,no,yes,yes,yes,538,0,no,no,no,yes,no,no,no,no,no,yes,no,no
36,16,yes,no,yes,yes,no,95,0,no,no,yes,no,no,no,no,no,no,no,no,no
50,289,yes,no,yes,no,no,300,0,no,no,no,no,no,no,no,no,yes,yes,no,no
55,477,yes,no,no,no,yes,138,0,no,no,no,no,no,no,no,yes,no,no,yes,no
40,27,no,no,no,no,no,467,1,no,no,no,no,no,no,no,no,no,no,no,no
26,3730,no,no,yes,no,yes,93,0,no,no,no,no,no,no,no,no,no,no,no,no
69,0,yes,no,no,no,yes,666,1,no,no,no,no,yes,no,no,no,no,no,yes,no
45,1345,yes,no,yes,no,no,120,0,no,no,no,yes,no,no,no,no,no,no,yes,no
37,167,yes,no,yes,no,no,225,0,yes,no,no,no,no,no,no,no,no,no,yes,no
59,332,yes,no,yes,yes,no,35,0,no,yes,no,no,no,no,no,no,no,no,no,no
49,-471,yes,no,yes,no,no,77,0,no,no,no,no,no,no,no,no,yes,no,no,no
22,374,no,no,yes,no,no,158,0,no,yes,no,no,no,no,no,no,no,no,no,no
46,389,no,no,no,no,no,46,0,no,no,no,no,no,yes,no,no,no,no,yes,no
29,226,no,no,yes,no,yes,261,0,no,no,no,no,no,no,no,yes,no,no,no,no
47,449,yes,no,yes,yes,no,92,0,no,no,no,no,no,no,no,yes,no,no,yes,no
34,209,yes,no,yes,yes,no,375,0,no,no,no,no,no,no,no,yes,no,no,yes,no
56,12539,no,no,no,no,yes,259,0,no,no,no,no,no,no,no,yes,no,no,no,no
60,75,yes,no,no,yes,yes,183,0,no,yes,no,no,no,no,no,no,no,yes,no,no
25,-559,yes,no,yes,no,no,189,0,no,no,no,no,no,no,no,yes,no,no,yes,no
37,489,yes,no,yes,no,no,205,0,no,yes,no,no,no,no,no,no,no,no,no,no
47,1717,yes,no,no,no,no,216,0,no,no,no,no,no,yes,no,no,no,no,yes,no
37,31,no,no,yes,no,yes,72,0,no,no,no,no,no,no,no,yes,no,no,no,no
38,1616,yes,no,yes,no,no,168,0,no,no,no,no,no,yes,no,no,no,no,yes,no
46,4,yes,no,no,yes,no,171,0,no,no,yes,no,no,no,no,no,no,no,no,yes
56,-40,no,no,yes,no,yes,311,1,no,no,no,no,no,yes,no,no,no,no,yes,no
37,145,yes,no,yes,no,no,74,0,no,no,no,no,no,yes,no,no,no,no,yes,no
34,3185,yes,no,yes,no,yes,93,0,no,no,no,no,no,no,no,no,no,no,yes,no
30,1942,yes,no,yes,yes,no,436,1,no,yes,no,no,no,no,no,no,no,no,no,no
35,1194,yes,no,no,yes,no,34,0,no,no,yes,no,no,no,no,no,no,no,no,no
31,-449,no,no,yes,no,no,81,0,no,no,no,no,no,no,no,no,no,no,yes,no
27,0,no,no,yes,no,yes,196,0,no,yes,no,no,no,no,no,no,no,no,no,no
41,8106,no,no,no,no,yes,39,0,no,yes,no,no,no,no,no,no,no,no,no,no
33,0,no,no,no,no,no,190,0,no,yes,no,no,no,no,no,no,no,no,yes,no
50,2065,yes,no,no,no,no,161,0,no,no,no,yes,no,no,no,no,no,no,no,yes
37,523,yes,no,yes,no,no,171,0,no,no,no,no,no,no,no,yes,no,no,yes,no
41,3769,yes,no,yes,no,yes,94,0,no,yes,no,no,no,no,no,no,no,no,no,no
32,151,no,no,yes,no,yes,118,0,no,yes,no,no,no,no,no,no,no,no,no,no
28,39,no,no,no,no,no,22,0,no,no,no,yes,no,no,no,no,no,no,yes,no
34,13354,yes,no,no,no,no,26,0,no,no,yes,no,no,no,no,no,no,no,no,no
31,0,no,no,yes,no,yes,391,0,no,yes,no,no,no,no,no,no,no,no,no,no
34,2374,yes,no,yes,no,no,243,1,no,no,no,no,no,no,no,no,no,no,yes,no
28,324,yes,no,yes,no,yes,175,0,no,no,no,yes,no,no,no,no,no,yes,no,no
34,800,yes,no,no,no,yes,144,1,no,no,no,yes,no,no,no,no,no,no,yes,no
61,6384,yes,no,no,no,no,55,0,no,no,no,no,no,no,no,yes,no,yes,no,no
76,1483,yes,no,no,no,no,90,0,yes,no,no,no,no,no,no,no,no,yes,no,no
38,134,yes,no,no,no,no,91,0,no,no,no,no,no,no,yes,no,no,no,yes,no
55,11,yes,no,no,no,no,588,0,no,no,no,no,no,no,no,yes,no,no,no,no
29,536,no,no,no,no,no,418,0,no,yes,no,no,no,no,no,no,no,no,no,no
32,169,yes,no,yes,no,no,85,0,no,no,no,no,no,no,no,yes,no,no,yes,no
47,1294,yes,no,yes,no,no,164,0,no,no,no,yes,no,no,no,no,no,yes,no,no
39,1424,yes,no,yes,no,no,254,0,no,yes,no,no,no,no,no,no,no,no,no,no
39,70,yes,no,no,no,yes,813,1,no,no,no,yes,no,no,no,no,no,yes,no,no
44,0,no,no,no,no,yes,133,1,no,no,no,yes,no,no,no,no,no,no,yes,no
49,154,yes,no,yes,no,no,26,0,no,no,no,yes,no,no,no,no,no,yes,no,no
33,-616,yes,no,yes,yes,yes,320,0,no,no,no,no,no,no,no,yes,no,no,yes,no
28,0,no,no,yes,no,no,217,0,no,no,no,no,no,no,no,yes,no,no,no,no
60,3,yes,no,no,no,no,80,0,no,no,yes,no,no,no,no,no,no,no,no,no
28,120,yes,no,yes,yes,no,130,0,no,no,yes,no,no,no,no,no,no,no,no,no
39,1836,yes,no,no,no,no,902,1,no,yes,no,no,no,no,no,no,no,no,no,no
45,430,yes,no,yes,no,yes,221,0,no,no,yes,no,no,no,no,no,no,no,no,no
31,1251,yes,no,no,no,yes,282,0,no,yes,no,no,no,no,no,no,no,no,no,no
26,384,no,no,yes,no,yes,16,0,no,no,no,yes,no,no,no,no,no,no,yes,no
49,255,yes,no,yes,no,no,96,0,no,no,no,no,no,no,no,no,no,no,no,no
60,758,no,no,no,no,yes,282,0,no,no,no,no,no,yes,no,no,no,no,yes,no
51,325,no,no,yes,no,no,254,0,no,no,no,yes,no,no,no,no,no,yes,no,no
39,1070,yes,no,yes,yes,yes,71,0,no,yes,no,no,no,no,no,no,no,no,no,no
34,127,yes,no,no,no,yes,117,1,no,no,no,no,no,no,no,yes,no,no,no,no
48,0,yes,no,yes,no,no,204,0,no,yes,no,no,no,no,no,no,no,no,no,no
38,2048,no,no,no,yes,yes,123,0,no,no,no,yes,no,no,no,no,no,no,yes,no
34,750,yes,no,yes,no,yes,204,0,no,no,no,yes,no,no,no,no,no,no,yes,no
45,1966,no,no,yes,no,no,76,0,no,no,yes,no,no,no,no,no,no,no,yes,no
46,2904,no,no,yes,no,no,984,1,no,yes,no,no,no,no,no,no,no,no,no,no
35,816,yes,no,yes,no,no,547,0,no,no,no,no,no,no,no,no,yes,no,no,no
26,-759,yes,no,yes,no,yes,191,0,yes,no,no,no,no,no,no,no,no,no,yes,no
30,8101,no,no,yes,no,yes,49,0,no,yes,no,no,no,no,no,no,no,no,yes,no
51,-227,no,no,yes,no,yes,404,0,no,yes,no,no,no,no,no,no,no,no,no,no
37,318,yes,no,no,no,yes,167,0,no,no,no,no,no,no,no,yes,no,no,yes,no
36,79,no,no,no,no,no,9,0,no,no,no,yes,no,no,no,no,no,yes,no,no
32,286,yes,no,no,no,yes,60,0,no,no,no,no,no,no,no,yes,no,no,yes,no
50,-79,no,no,no,yes,yes,70,0,no,no,no,no,no,no,no,no,no,no,yes,no
55,264,no,no,yes,no,no,34,0,no,no,no,no,no,no,no,yes,no,no,no,no
33,3000,yes,no,yes,yes,yes,160,0,no,no,no,no,no,no,no,yes,no,no,yes,no
31,0,no,no,yes,no,no,16,0,no,no,no,no,no,no,no,yes,no,no,yes,no
40,3812,yes,no,no,no,no,58,0,no,yes,no,no,no,no,no,no,no,no,no,no
46,-100,no,no,yes,no,no,445,0,no,no,no,yes,no,no,no,no,no,no,yes,no
47,-288,yes,no,no,no,no,193,0,no,no,no,no,no,yes,no,no,no,no,yes,no
37,414,no,no,no,no,no,352,0,no,yes,no,no,no,no,no,no,no,no,yes,no
39,694,yes,no,yes,no,no,413,0,no,no,no,no,no,no,no,yes,no,no,yes,no
34,223,yes,no,yes,no,no,202,0,no,no,no,no,no,no,no,yes,no,no,yes,no
38,3047,yes,no,yes,no,no,285,0,no,no,no,no,no,no,no,no,no,no,yes,no
37,298,yes,no,yes,no,no,10,0,no,no,no,yes,no,no,no,no,no,no,yes,no
33,3446,no,no,yes,no,no,83,0,no,no,no,yes,no,no,no,no,no,no,no,no
60,6573,yes,no,yes,no,yes,75,0,no,no,no,no,no,no,no,yes,no,no,no,no
38,137,yes,no,no,no,yes,624,0,no,no,no,yes,no,no,no,no,no,no,yes,no
37,28,yes,no,no,no,no,101,0,no,no,no,no,no,no,no,yes,no,no,yes,no
57,341,yes,no,yes,no,no,27,0,no,no,no,no,yes,no,no,no,no,yes,no,no
38,804,no,no,no,no,yes,1087,1,no,no,no,no,no,no,no,no,yes,no,yes,no
42,452,yes,no,yes,no,no,359,0,no,no,no,yes,no,no,no,no,no,no,no,yes
44,-618,yes,no,no,yes,no,198,0,no,no,no,no,no,yes,no,no,no,no,yes,no
54,1378,yes,no,yes,no,yes,240,0,no,no,no,no,no,no,no,yes,no,no,yes,no
40,109,no,no,yes,no,yes,308,0,yes,no,no,no,no,no,no,no,no,yes,no,no
50,1822,yes,no,yes,no,yes,6,0,no,yes,no,no,no,no,no,no,no,no,no,no
33,317,yes,no,yes,no,no,141,0,no,no,no,no,no,yes,no,no,no,no,yes,no
36,12264,no,no,no,no,yes,285,1,no,no,no,no,no,no,no,yes,no,no,yes,no
31,0,yes,no,yes,no,no,40,0,no,no,no,no,no,no,no,no,no,no,yes,no
49,272,yes,no,no,yes,no,146,0,no,no,no,no,no,no,no,no,no,no,yes,no
42,2110,yes,no,no,yes,no,106,0,no,yes,no,no,no,no,no,no,no,no,no,no
34,0,no,no,no,no,no,132,0,no,yes,no,no,no,no,no,no,no,no,yes,no
48,368,yes,no,no,no,no,363,1,no,no,no,no,no,no,no,no,no,no,yes,no
34,7063,yes,no,yes,no,yes,309,0,no,no,no,yes,no,no,no,no,no,no,yes,no
57,6,yes,no,yes,no,no,126,0,no,no,yes,no,no,no,no,no,no,yes,no,no
46,0,yes,no,yes,yes,no,390,0,no,no,no,yes,no,no,no,no,no,yes,no,no
33,263,yes,no,no,no,yes,257,0,no,no,yes,no,no,no,no,no,no,no,no,no
25,1242,no,no,yes,no,no,615,1,no,no,yes,no,no,no,no,no,no,no,yes,no
47,3644,no,no,no,no,no,83,0,no,no,no,no,no,yes,no,no,no,no,yes,no
59,10360,yes,no,no,no,yes,37,0,no,no,yes,no,no,no,no,no,no,no,no,no
51,137,yes,no,no,no,no,169,0,yes,no,no,no,no,no,no,no,no,yes,no,no
39,282,no,no,yes,no,yes,243,0,no,no,no,no,no,yes,no,no,no,no,yes,no
59,786,yes,no,no,yes,no,44,0,no,no,no,yes,no,no,no,no,no,no,yes,no
37,876,no,no,yes,no,no,213,0,no,no,no,no,no,no,no,yes,no,no,no,no
37,-254,yes,no,yes,yes,no,256,0,no,no,no,no,no,no,no,yes,no,no,yes,no
38,-388,yes,no,yes,no,yes,412,0,no,no,no,yes,no,no,no,no,no,no,yes,no
39,710,yes,no,no,no,no,14,0,no,no,no,yes,no,no,no,no,no,yes,no,no
57,2762,no,no,no,no,yes,100,0,no,no,no,no,no,no,no,no,yes,no,yes,no
28,1,no,no,yes,no,yes,923,0,yes,no,no,no,no,no,no,no,no,yes,no,no
29,602,yes,no,yes,yes,no,440,0,no,no,no,yes,no,no,no,no,no,no,yes,no
31,667,no,no,yes,no,no,152,0,no,no,yes,no,no,no,no,no,no,no,no,no
54,-1089,yes,yes,no,yes,no,105,0,no,no,no,no,no,no,no,no,no,no,yes,no
37,1655,no,no,yes,no,yes,178,0,no,yes,no,no,no,no,no,no,no,no,yes,no
39,1181,yes,no,yes,no,no,650,1,no,no,no,yes,no,no,no,no,no,no,no,yes
35,3863,yes,no,yes,no,yes,239,0,no,no,no,no,no,no,no,no,no,no,yes,no
43,776,no,no,no,no,no,52,0,no,yes,no,no,no,no,no,no,no,no,no,no
32,222,no,no,no,yes,no,820,1,no,yes,no,no,no,no,no,no,no,no,no,no
32,494,yes,no,yes,no,no,252,0,no,no,no,yes,no,no,no,no,no,yes,no,no
41,-4,yes,no,yes,no,yes,72,0,no,yes,no,no,no,no,no,no,no,no,no,no
31,224,yes,no,yes,no,no,20,0,no,no,no,yes,no,no,no,no,no,yes,no,no
49,-98,yes,yes,yes,no,no,182,0,no,no,no,yes,no,no,no,no,no,yes,no,no
56,1210,yes,no,no,no,yes,935,1,no,no,no,yes,no,no,no,no,no,no,yes,no
38,881,yes,no,no,yes,no,79,0,no,yes,no,no,no,no,no,no,no,no,no,no
39,18,yes,no,yes,no,yes,230,0,no,yes,no,no,no,no,no,no,no,no,yes,no
30,371,yes,no,no,no,no,124,0,no,no,no,no,no,no,no,yes,no,no,yes,no
37,287,yes,no,yes,no,no,191,0,no,no,no,yes,no,no,no,no,no,no,yes,no
41,124,yes,no,yes,no,no,191,0,no,no,no,no,no,no,no,no,no,no,yes,no
30,77,no,no,no,yes,no,82,0,no,no,no,no,no,no,no,yes,no,no,yes,no
32,15341,no,no,no,no,no,738,0,no,no,no,yes,no,no,no,no,no,no,yes,no
60,721,yes,no,no,no,yes,160,0,no,no,no,yes,no,no,no,no,no,no,yes,no
57,490,yes,no,yes,no,no,70,0,no,no,no,yes,no,no,no,no,no,no,yes,no
28,-427,no,no,yes,yes,no,965,0,no,no,no,no,no,yes,no,no,no,no,yes,no
39,94,yes,no,no,no,no,182,0,no,no,no,no,no,no,no,yes,no,no,yes,no
34,558,no,no,no,no,no,108,0,no,no,no,no,no,no,no,yes,no,no,yes,no
60,838,yes,no,no,no,yes,147,0,no,no,no,no,yes,no,no,no,no,yes,no,no
59,99,yes,no,yes,no,yes,43,0,no,no,no,yes,no,no,no,no,no,yes,no,no
54,5927,yes,no,no,no,no,256,0,no,yes,no,no,no,no,no,no,no,no,no,no
43,21510,yes,no,no,no,no,248,0,no,yes,no,no,no,no,no,no,no,no,no,no
32,456,yes,no,no,no,yes,121,0,no,no,no,yes,no,no,no,no,no,no,yes,no
60,61,no,no,yes,no,no,197,0,no,no,no,no,yes,no,no,no,no,yes,no,no
34,368,no,no,no,yes,yes,2201,0,no,no,no,yes,no,no,no,no,no,no,yes,no
50,0,yes,no,no,no,no,72,0,no,no,no,yes,no,no,no,no,no,yes,no,no
37,32,yes,no,yes,no,no,146,0,no,no,no,yes,no,no,no,no,no,no,yes,no
36,64,yes,no,no,no,yes,130,0,no,yes,no,no,no,no,no,no,no,no,no,no
31,4319,no,no,yes,no,no,153,0,no,yes,no,no,no,no,no,no,no,no,no,no
34,336,yes,no,yes,yes,no,84,0,no,yes,no,no,no,no,no,no,no,no,no,no
45,159,no,no,yes,no,no,66,0,no,no,no,no,no,no,no,yes,no,no,yes,no
32,390,yes,no,no,no,yes,152,0,no,no,yes,no,no,no,no,no,no,no,yes,no
31,6138,yes,no,no,no,no,241,0,no,yes,no,no,no,no,no,no,no,no,no,no
37,566,no,no,yes,no,no,168,0,no,no,no,no,no,no,no,yes,no,no,yes,no
51,1069,yes,no,no,no,no,27,0,no,yes,no,no,no,no,no,no,no,no,no,no
37,2544,no,no,yes,no,no,120,0,no,no,no,no,no,no,no,yes,no,no,yes,no
34,96,yes,no,no,no,no,113,0,no,no,no,no,no,no,no,yes,no,no,yes,no
58,1472,yes,no,no,no,no,74,0,no,no,no,no,yes,no,no,no,no,yes,no,no
34,899,yes,no,yes,no,no,627,0,no,no,no,no,no,no,no,no,no,no,no,no
28,0,no,no,yes,no,yes,96,1,no,no,no,no,no,no,no,yes,no,no,no,yes
36,508,yes,no,no,no,no,233,0,no,no,no,no,no,no,no,yes,no,no,no,no
37,357,yes,no,yes,no,no,14,0,no,no,no,yes,no,no,no,no,no,yes,no,no
41,1249,yes,no,yes,no,yes,391,0,no,no,yes,no,no,no,no,no,no,no,yes,no
39,498,yes,no,yes,no,no,149,0,no,no,no,yes,no,no,no,no,no,no,yes,no
27,4991,no,no,yes,no,yes,123,0,no,no,no,no,no,no,no,no,no,no,no,no
36,26,no,no,no,no,no,370,0,no,yes,no,no,no,no,no,no,no,no,no,no
53,341,yes,no,no,no,no,423,1,no,no,no,no,no,yes,no,no,no,no,yes,no
36,168,no,no,yes,no,yes,52,0,no,no,no,yes,no,no,no,no,no,no,yes,no
34,276,yes,no,no,no,yes,216,0,no,yes,no,no,no,no,no,no,no,no,no,no
51,294,yes,no,no,no,yes,640,0,yes,no,no,no,no,no,no,no,no,no,yes,no
33,2293,yes,no,yes,no,no,457,0,yes,no,no,no,no,no,no,no,no,yes,no,no
45,-35,yes,no,yes,yes,no,145,0,no,no,no,yes,no,no,no,no,no,no,yes,no
25,679,no,no,no,no,no,297,1,no,no,no,no,no,no,yes,no,no,no,yes,no
53,1796,yes,no,no,no,yes,476,1,no,no,no,no,no,no,no,no,no,no,yes,no
26,44,yes,no,yes,yes,no,193,0,no,no,no,no,no,yes,no,no,no,no,yes,no
32,593,yes,no,no,no,no,140,0,no,no,no,no,no,no,no,yes,no,no,no,no
37,718,no,no,no,no,yes,43,0,no,no,no,no,no,yes,no,no,no,no,no,no
44,17,yes,no,yes,no,no,352,0,no,yes,no,no,no,no,no,no,no,no,no,no
35,3508,no,no,yes,no,no,94,0,no,no,no,yes,no,no,no,no,no,no,yes,no
35,80,no,no,no,no,no,434,1,no,yes,no,no,no,no,no,no,no,no,no,no
29,0,yes,no,yes,no,yes,121,0,no,no,no,no,no,no,no,no,no,no,yes,no
52,3348,no,no,yes,no,no,407,0,no,no,no,no,no,no,no,no,no,no,yes,no
34,986,yes,no,yes,no,no,105,0,no,yes,no,no,no,no,no,no,no,no,no,no
52,557,yes,no,no,no,no,111,0,no,no,no,yes,no,no,no,no,no,no,yes,no
32,29,no,no,yes,no,no,49,0,no,yes,no,no,no,no,no,no,no,no,no,no
32,10,no,no,yes,no,yes,107,0,no,no,no,no,no,no,no,yes,no,no,yes,no
39,-16,yes,yes,no,no,no,285,0,no,no,no,yes,no,no,no,no,no,no,yes,no
50,267,yes,no,yes,no,no,187,0,no,no,no,yes,no,no,no,no,no,no,no,no
44,-54,yes,no,yes,yes,yes,437,0,no,no,no,yes,no,no,no,no,no,no,yes,no
26,192,no,no,yes,no,yes,477,0,no,no,no,no,no,no,no,yes,no,no,no,no
26,2020,no,no,no,no,no,42,0,no,no,no,no,no,no,yes,no,no,no,no,yes
48,-583,yes,yes,yes,no,no,25,0,no,no,no,no,no,yes,no,no,no,yes,no,no
33,166,no,no,yes,no,yes,278,0,no,yes,no,no,no,no,no,no,no,no,no,no
42,0,no,no,no,no,no,64,0,no,no,no,yes,no,no,no,no,no,no,no,yes
42,6250,yes,no,no,no,no,107,0,no,no,no,no,no,no,no,yes,no,no,yes,no
44,0,no,no,no,no,yes,71,0,no,yes,no,no,no,no,no,no,no,no,no,no
35,329,no,no,yes,no,no,19,0,no,no,yes,no,no,no,no,no,no,no,no,no
31,179,yes,no,yes,no,yes,365,0,no,no,no,no,no,yes,no,no,no,no,yes,no
42,3465,yes,no,yes,yes,no,1039,1,no,no,no,no,no,yes,no,no,no,no,yes,no
29,84,yes,no,yes,no,no,222,0,no,no,no,no,no,no,no,yes,no,no,yes,no
34,0,yes,no,yes,no,no,185,0,no,no,no,no,no,no,no,yes,no,no,no,no
39,1425,yes,no,yes,no,no,775,1,no,yes,no,no,no,no,no,no,no,no,no,no
22,377,no,no,no,no,yes,155,0,no,no,no,no,no,no,no,no,no,no,no,no
40,30,yes,no,yes,no,no,168,0,no,no,no,yes,no,no,no,no,no,no,yes,no
22,224,no,no,no,no,yes,5,0,no,no,no,no,no,no,yes,no,no,no,yes,no
42,12584,no,no,no,no,no,21,0,no,no,no,no,no,no,no,yes,no,no,yes,no
51,-237,yes,no,yes,yes,no,379,0,no,no,no,yes,no,no,no,no,no,no,yes,no
33,1536,yes,no,no,no,yes,359,1,no,no,no,no,no,no,yes,no,no,no,yes,no
56,48,no,no,yes,no,no,132,0,no,no,no,no,yes,no,no,no,no,yes,no,no
30,6,no,no,yes,yes,yes,102,0,no,no,no,no,no,yes,no,no,no,yes,no,no
33,39,no,no,yes,no,no,332,0,yes,no,no,no,no,no,no,no,no,yes,no,no
29,726,no,no,yes,no,no,200,0,no,yes,no,no,no,no,no,no,no,no,no,no
58,889,yes,no,no,no,no,121,0,no,yes,no,no,no,no,no,no,no,no,no,no
30,102,yes,no,yes,no,no,470,1,no,yes,no,no,no,no,no,no,no,no,no,no
27,2323,no,no,yes,no,yes,153,0,no,no,no,yes,no,no,no,no,no,no,no,yes
49,1632,yes,no,no,no,yes,47,0,no,no,no,no,no,no,no,no,no,no,yes,no
51,335,yes,no,no,no,yes,234,0,no,yes,no,no,no,no,no,no,no,no,yes,no
55,102,yes,no,yes,no,yes,74,0,no,no,no,no,yes,no,no,no,no,no,yes,no
34,183,yes,no,yes,no,no,3078,0,no,no,no,yes,no,no,no,no,no,yes,no,no
30,80,yes,no,yes,no,no,185,0,no,no,no,no,no,yes,no,no,no,no,yes,no
39,247,yes,no,yes,no,no,244,0,no,no,no,no,no,yes,no,no,no,no,yes,no
42,314,no,no,yes,no,yes,234,1,no,no,no,no,no,no,no,yes,no,no,yes,no
24,166,no,no,no,no,no,256,1,no,no,no,no,no,no,no,no,no,no,yes,no
36,63,yes,no,yes,no,no,56,0,no,no,no,yes,no,no,no,no,no,no,yes,no
52,0,yes,no,yes,no,yes,1486,1,no,no,no,yes,no,no,no,no,no,no,no,yes
42,1027,yes,no,yes,no,no,63,0,no,no,no,no,no,yes,no,no,no,no,yes,no
33,74,yes,no,no,no,no,94,0,no,no,no,no,no,no,no,yes,no,no,yes,no
36,420,yes,no,yes,no,yes,58,0,no,no,no,yes,no,no,no,no,no,no,yes,no
31,1015,no,no,no,no,yes,100,0,no,no,no,no,no,yes,no,no,no,no,yes,no
42,216,no,no,yes,no,no,144,0,no,no,yes,no,no,no,no,no,no,no,no,no
36,-148,yes,no,no,no,no,144,0,no,yes,no,no,no,no,no,no,no,no,yes,no
40,77,yes,no,no,no,yes,505,0,no,no,no,no,no,no,no,yes,no,no,yes,no
57,4908,yes,no,no,no,yes,868,0,no,no,no,no,yes,no,no,no,no,yes,no,no
39,247,no,no,yes,no,no,130,0,no,yes,no,no,no,no,no,no,no,no,yes,no
34,124,no,no,yes,no,yes,56,0,no,yes,no,no,no,no,no,no,no,no,yes,no
33,5,yes,no,yes,no,yes,12,0,no,yes,no,no,no,no,no,no,no,no,no,no
33,272,no,no,yes,no,yes,326,1,no,no,no,no,no,no,no,no,no,no,no,no
49,1843,yes,no,yes,no,yes,269,0,no,no,no,no,no,no,no,yes,no,no,no,no
35,176,no,no,no,no,no,77,0,no,no,no,no,no,no,no,yes,no,no,yes,no
58,670,yes,no,yes,no,yes,1272,1,no,no,yes,no,no,no,no,no,no,no,yes,no
30,2344,no,no,yes,no,no,316,0,no,yes,no,no,no,no,no,no,no,no,no,no
56,0,yes,no,yes,no,no,333,0,no,no,no,no,yes,no,no,no,no,no,yes,no
46,-43,yes,no,no,no,no,138,0,no,no,yes,no,no,no,no,no,no,no,no,no
41,195,no,no,no,no,yes,125,0,no,yes,no,no,no,no,no,no,no,no,no,no
35,83,no,no,yes,no,yes,90,0,no,yes,no,no,no,no,no,no,no,no,yes,no
38,-728,yes,no,yes,no,yes,333,0,no,no,no,no,no,no,no,no,no,no,yes,no
47,641,yes,no,no,no,no,501,0,no,yes,no,no,no,no,no,no,no,no,no,yes
37,804,yes,no,yes,no,yes,94,0,no,no,yes,no,no,no,no,no,no,no,no,no
39,-119,yes,no,no,no,no,135,0,no,no,no,yes,no,no,no,no,no,yes,no,no
26,535,no,no,yes,yes,yes,252,0,no,no,no,yes,no,no,no,no,no,no,yes,no
34,99,no,no,no,no,yes,70,0,no,yes,no,no,no,no,no,no,no,no,no,no
44,1590,yes,no,yes,no,yes,349,0,no,no,no,no,no,no,no,no,yes,no,yes,no
32,162,yes,no,yes,no,no,297,0,no,no,no,no,no,yes,no,no,no,no,yes,no
36,185,yes,no,yes,no,no,136,0,no,no,yes,no,no,no,no,no,no,no,yes,no
44,0,yes,no,yes,no,no,81,0,no,yes,no,no,no,no,no,no,no,no,no,no
29,500,no,no,yes,no,no,273,0,no,no,no,no,no,no,no,yes,no,no,yes,no
18,438,no,no,no,no,yes,425,0,no,no,no,no,no,no,yes,no,no,no,no,yes
47,794,yes,no,yes,yes,no,564,0,no,yes,no,no,no,no,no,no,no,no,yes,no
51,131,no,no,yes,no,yes,193,0,no,no,no,no,no,no,no,yes,no,no,yes,no
33,294,no,no,yes,no,yes,763,1,no,no,no,no,no,no,no,no,no,no,yes,no
40,1954,yes,no,no,no,no,1107,1,no,no,no,yes,no,no,no,no,no,no,yes,no
37,975,yes,no,yes,yes,no,69,0,no,yes,no,no,no,no,no,no,no,no,no,no
35,120,yes,no,yes,no,no,269,0,no,no,no,yes,no,no,no,no,no,no,yes,no
37,2686,no,no,no,no,no,144,0,no,no,no,no,no,no,no,yes,no,no,yes,no
36,1520,no,no,no,no,no,101,0,no,yes,no,no,no,no,no,no,no,no,no,no
57,455,yes,no,yes,no,yes,361,0,no,no,no,no,yes,no,no,no,no,no,yes,no
59,3372,yes,no,no,no,yes,87,0,no,no,no,yes,no,no,no,no,no,yes,no,no
31,307,no,no,no,no,no,86,0,no,yes,no,no,no,no,no,no,no,no,no,no
34,202,no,no,yes,no,no,114,0,no,no,no,no,no,no,no,yes,no,no,yes,no
34,503,yes,no,yes,no,no,120,0,no,no,no,yes,no,no,no,no,no,yes,no,no
44,1136,no,no,yes,yes,no,345,0,no,no,yes,no,no,no,no,no,no,no,no,no
42,4279,yes,no,yes,no,yes,98,0,yes,no,no,no,no,no,no,no,no,yes,no,no
49,1314,yes,no,no,no,no,834,1,no,no,no,no,no,yes,no,no,no,no,yes,no
29,504,no,no,yes,no,yes,203,0,no,no,no,no,no,no,no,no,no,no,yes,no
47,4151,yes,no,yes,no,yes,114,0,no,yes,no,no,no,no,no,no,no,yes,no,no
39,4101,yes,no,yes,no,no,146,1,no,no,no,no,no,no,no,yes,no,no,yes,no
